"ncaa_id","espn_id"
"596477","315"
"596430","155"
"596419","316"
"596479","148"
"596480","317"
"596478","318"
"596483","260"
"596706","60"
"596485","59"
"596487","58"
"596486","320"
"596466","321"
"596702","151"
"596489","55"
"596490","156"
"596499","127"
"596491","157"
"596493","121"
"596693","1143"
"596470","262"
"596494","158"
"596495","292"
"596496","86"
"596497","106"
"596498","324"
"596500","116"
"596501","299"
"596502","313"
"596503","326"
"596504","61"
"596506","165"
"596508","185"
"596476","65"
"596511","1105"
"596516","293"
"596517","298"
"596520","306"
"596457","159"
"596518","829"
"596615","118"
"596492","329"
"596521","161"
"596523","117"
"596524","146"
"596525","284"
"596527","162"
"596528","336"
"596529","98"
"596703","263"
"596530","100"
"596531","337"
"596532","338"
"596534","339"
"596533","340"
"596708","93"
"596535","94"
"596536","304"
"596538","348"
"596539","349"
"596537","350"
"596460","303"
"596709","149"
"596540","351"
"596545","75"
"596543","353"
"596546","1274"
"596542","72"
"596547","354"
"596707","137"
"596461","356"
"596548","166"
"596550","71"
"596551","357"
"596553","78"
"596554","138"
"596549","358"
"596552","77"
"596555","287"
"596710","359"
"596462","360"
"596556","363"
"596557","79"
"596705","364"
"596558","365"
"596559","366"
"596560","124"
"596561","367"
"596562","153"
"596563","288"
"596468","371"
"596566","294"
"596565","308"
"596568","372"
"596569","167"
"596572","285"
"596571","139"
"596570","73"
"596573","129"
"596574","168"
"596575","264"
"596463","307"
"596576","169"
"596577","82"
"596583","85"
"596578","145"
"596579","170"
"596580","377"
"596581","172"
"596472","378"
"596488","261"
"596507","141"
"596711","379"
"596582","380"
"596585","144"
"596584","173"
"596587","382"
"596588","259"
"596589","265"
"596590","175"
"596591","384"
"596593","87"
"596595","386"
"596596","387"
"596597","119"
"596598","295"
"596458","1148"
"596599","176"
"596600","107"
"596601","89"
"596602","88"
"596603","177"
"596452","135"
"596604","90"
"596605","150"
"596606","388"
"596685","91"
"596608","197"
"596609","178"
"596610","391"
"596611","393"
"596612","394"
"596621","395"
"596431","179"
"596712","99"
"596620","183"
"596623","104"
"596622","103"
"596624","184"
"596625","398"
"596713","399"
"596626","400"
"596467","1103"
"596627","96"
"596629","403"
"596628","296"
"596614","404"
"596635","405"
"596632","406"
"596475","407"
"596633","408"
"596636","409"
"596634","410"
"596631","411"
"596637","81"
"596638","412"
"596640","109"
"596639","108"
"596714","112"
"596641","110"
"596642","140"
"596607","92"
"596715","111"
"596643","273"
"596644","113"
"596645","129700"
"596647","414"
"596716","415"
"596648","187"
"596649","115"
"596650","416"
"596651","188"
"596464","418"
"596652","101"
"596567","189"
"596653","374"
"596654","420"
"596655","421"
"596656","422"
"596657","122"
"596658","130"
"596659","423"
"596660","102"
"596683","429"
"596509","314"
"596661","266"
"596663","425"
"596664","300"
"596666","437"
"596667","190"
"596668","274"
"596669","143"
"596670","62"
"596671","267"
"596672","63"
"596673","427"
"596465","428"
"596674","268"
"596675","311"
"596677","57"
"596681","193"
"596469","453"
"596678","431"
"596679","76"
"596719","191"
"596682","194"
"596680","432"
"596676","1246"
"596718","192"
"596684","434"
"596662","105"
"596717","195"
"596688","64"
"596689","438"
"596720","74"
"596690","196"
"596421","198"
"596700","1145"
"596721","440"
"596691","441"
"596420","123"
"596686","846"
"596422","200"
"596423","201"
"596425","444"
"596522","202"
"596427","445"
"596428","305"
"596429","269"
"596701","203"
"596481","447"
"596482","154"
"596512","448"
"596513","142"
"596515","67"
"596694","1147"
"596510","290"
"596519","160"
"596514","66"
"596526","69"
"596564","80"
"596630","272"
"596592","450"
"596586","449"
"596613","452"
"596616","181"
"596617","152"
"596619","182"
"596692","442"
"596646","932"
"596426","297"
"596432","454"
"596418","1146"
"596474","455"
"596436","204"
"596437","459"
"596433","302"
"596434","120"
"596435","458"
"596439","131"
"596438","132"
"596440","460"
"596441","97"
"596443","133"
"596442","134"
"596445","129699"
"596444","136"
"596448","462"
"596447","84"
"596446","463"
"596449","206"
"596450","853"
"596451","207"
"596704","208"
"596453","270"
"596454","312"
"596455","466"
"596456","209"
