"owner","division","img_src","school_url","ncaa_id","conference","nickname","colors","full_name","website","twitter"
"Alvernia","III","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alvernia.svg","https://www.ncaa.com/schools/alvernia","589527","Middle Atlantic  Commonwealth","Golden Wolves","Maroon & Gold","Alvernia University","athletics.alvernia.edu","@verncrusaders"
"Barton","II","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/barton.svg","https://www.ncaa.com/schools/barton","589351","Carolinas","Bulldogs","Royal Blue & White","Barton College","bartonbulldogs.com","@bartonathletics"
"Cal Lutheran","III","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-lutheran.svg","https://www.ncaa.com/schools/cal-lutheran","589553","Southern California Intercollegiate Athletic Conf.","Kingsmen","Violet & Gold","California Lutheran University","clusports.com","@CLUSports"
"Chowan","II","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/chowan.svg","https://www.ncaa.com/schools/chowan","589338","Carolinas","Hawks","Blue & White","Chowan University","gocuhawks.com","@cuhawks"
"Davenport","II","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/davenport.svg","https://www.ncaa.com/schools/davenport","589216","GLIAC","Panthers","Red, Black and White","Davenport University ","https://dupanthers.com/","@DUAthletics"
"Dean","III","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/dean-college.svg","https://www.ncaa.com/schools/dean-college","589525","Great Northeast Athletic","","","Dean College ","deanbulldogs.com","@DeanAthletics"
"Delaware","FCS","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/delaware.svg","https://www.ncaa.com/schools/delaware","589099","USA","Blue Hens","Blue & Gold","University of Delaware","bluehens.com","@UDBlueHens"
"Erskine","II","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/erskine.svg","https://www.ncaa.com/schools/erskine","589350","Carolinas","The Flying Fleet","Garnet & Gold","Erskine College","erskinesports.com","@FollowtheFleet"
"Lyon","III","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lyon.svg","https://www.ncaa.com/schools/lyon","589421","St. Louis Intercollegiate Athletic","","","Lyon College","www.lyon.edu/athletics","@lyoncollege"
"North Greenville","II","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-greenville.svg","https://www.ncaa.com/schools/north-greenville","589344","Carolinas","Crusaders","Red, Black","North Greenville University","ngcrusaders.com","@Crusader_Sports"
"Ohio State Newark","FBS","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio.svg","https://www.ncaa.com/schools/ohio","588964","Mid-American","Bobcats","Hunter Green & White","Ohio University","ohiobobcats.com","@OhioBobcats"
"Shorter","II","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/shorter.svg","https://www.ncaa.com/schools/shorter","589211","Carolinas","Hawks","Royal & White","Shorter University","goshorterhawks.com","@ShorterHawks"
"Southern California","FBS","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-california.svg","https://www.ncaa.com/schools/southern-california","588983","Big Ten","Trojans","Cardinal & Gold","University of Southern California","www.usctrojans.com","@USC_Athletics"
"Tex. Permian Basin","II","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tex-permian-basin.svg","https://www.ncaa.com/schools/tex-permian-basin","589201","Lone Star","Falcons","Orange, white & black","Texas of the Permian Basin","utpbfalcons.com","@utpbfalcons"
"U New England","III","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/u-new-england.svg","https://www.ncaa.com/schools/u-new-england","589526","Conference of New England","Nor'easters","Royal Blue & White","University of New England","athletics.une.edu","@UNESports"
"UNC Pembroke","II","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-pembroke.svg","https://www.ncaa.com/schools/unc-pembroke","589263","Carolinas","Braves","Black & Gold","UNC Pembroke","uncpbraves.com","@UNCP_Sports"
